"['mikojan-gurevič', 'mig-29']",['mig-29']
"['1', 'január']",
Link,Alt_Text
['2000'],
"['veliteľstvo', 'vzdušný', 'sila', 'ozbrojený', 'sila', 'slovenský', 'republika']","['veliteľstvo', 'vzdušný', 'sila']"
"['jozef', 'dunaj']",
"['3', 'jún']",
"['biely', 'albatros']",
"['aero', 'l-39', 'albatros']","['l-39c', 'albatros']"
['2002'],
"['2k12', 'kub']",
"['6', 'november']","['6', 'november']"
"['stredoeurópsky', 'čas']",['seč']
"['organizácia', 'severoatlantický', 'zmluva']",['nato']
['2003'],
"['suchoj', 'su-17', 'su-20', 'su-22']","['suchoj', 'su-22']"
"['suchoj', 'su-25']",
"['aero', 'l-29', 'delfín']",
Link,Alt_Text
"['mikojan-gurevič', 'mig-21']",
['2004'],
['2006'],
"['medzinárodný', 'organizácia', 'civilný', 'letectvo']",['icao']
"['29', 'február']",
['2008'],
"['19', 'január']",
['2006'],
"['anton', 'an-24']",
"['letecký', 'nešťastie', 'slovenský', 'an-24']","['letecký', 'katastrofa']"
"['ministerstvo', 'obrana', 'slovenský', 'republika']","['ministerstvo', 'obrana', 'sr']"
['kosovo'],['kosove']
['september'],['september']
['2011'],
"['mil', 'mi-24']",
Link,Alt_Text
"['beechcraft', 'super', 'king', 'air']","['beechcraft', 'b200', 'super', 'king', 'air']"
"['28', 'júl']",
['2015'],
"['mil', 'mi-17']",['mi-17m']
['terňa'],
['podpráporčík'],['pprap']
"['armáda', 'český', 'republika']","['armáda', 'český', 'republika']"
"['15', 'február']",
['2017'],
"['aero', 'l-29', 'delfín']","['l-29', 'delfín']"
"['nato', 'integrated', 'air', 'missile', 'defence', 'system']",['natinamds']
['sliač'],
"['kováčová', 'okres', 'zvolen']",['kováčová']
"['stredoeurópsky', 'letný', 'čas']",['selč']
"['aero', 'l-39', 'albatros']","['l-39zam', 'albatros']"
Link,Alt_Text
"['sad', 'okres', 'nitra']",['sad']
"['mikojan-gurevič', 'mig-29']",['migov-29as']
"['quick', 'reaction', 'alert']","['vzlet', 'ostrý', 'pohotovosť']"
"['combined', 'air', 'operations', 'centrum', 'uedem']",['uedeme']
['nemecko'],['nemecku']
"['letisko', 'm', 'r', 'štefánika']","['letisko', 'bratislave']"
"['sad', 'okres', 'nitra']",['sad']
"['nitra', 'okres']",['nitra']
"['podhorany', 'okres', 'nitra']",['podhorany']
"['peter', 'gajdoš']",
"['jaroslav', 'naď']",
"['pandémia', 'koronavírusu', 'sars-cov-2']","['pandémie', 'koronavírusu', 'sars-cov-2']"
"['letecký', 'základňa', 'malacky']",['malacky-kuchyňa']
"['dopravné', 'lietadlo']",
"['alenia', 'c-27j', 'spartan']","['c-27j', 'spartan']"
Link,Alt_Text
['libanon'],
['česko'],['česka']
['maďarsko'],['maďarska']
['rakúsko'],['rakúsky']
['cyprus'],['cypru']
"['stíhací', 'lietadlo']","['stíhací', 'lietadlo']"
"['mikojan-gurevič', 'mig-29']",['mig-29']
"['organizácia', 'severoatlantický', 'zmluva']",['nato']
['január'],
['2014'],
['švédsko'],
"['saab', 'jas', '39', 'gripen']","['jas', '39', 'gripen']"
['mig'],"['rsk', 'mig']"
['júl'],
"['martin', 'glváč']",
Link,Alt_Text
"['stíhací', 'lietadlo']",
"['18', 'marec']","['18', 'marec']"
['2015'],
"['saab', 'jas', '39', 'gripen']","['jas', '39', 'gripen']"
"['foreign', 'military', 'sales']",['fms']
['2016'],
"['spojený', 'štát']",['usa']
['rusko'],
['mig-35'],
['švédsko'],
['maďarsko'],
['česko'],
['poľsko'],['poľska']
['taliansko'],['taliansky']
['grécko'],['grécky']
Link,Alt_Text
"['4', 'apríl']",
['2018'],
"['ministerstvo', 'zahraničný', 'vec', 'spojený', 'štát']",
"['general', 'dynamics', 'f-16', 'fighting', 'falcon']","['f-16c', 'd', 'block', '70']"
"['lockheed', 'martin', 'f-35', 'lightning', 'ii']","['f-35', 'lightning', 'ii']"
"['lockheed', 'martin', 'f-22', 'raptor']","['f-22', 'raptor']"
"['11', 'júl']",
"['saab', 'jas', '39', 'gripen']","['jas', '39c', 'd', 'gripen']"
['2022'],
['greenville'],
"['južný', 'karolína']","['južný', 'karolíne']"
['2024'],
"['medzinárodný', 'letisko', 'tucson']","['morrisovej', 'základňa', 'letecký', 'národný', 'garda']"
['tucson'],
['arizona'],['arizone']
Link,Alt_Text
['texas'],['texase']
['columbus'],
['mississippi'],
"['peter', 'gajdoš']",
"['12', 'december']","['12', 'december']"
"['peter', 'pellegrini']",
['natinamds'],
"['mike', 'pompeo']",
"['12', 'február']",
['2019'],
"['jaroslav', 'naď']",
"['miroslav', 'lajčák']",
"['aim-9', 'sidewinder']","['aim-9x', 'block', 'ii']"
"['aero', 'l-39', 'albatros']","['l-39zam', 'albatros']"
"['aero', 'l-159', 'alca']","['l-159t2', 'alca']"
Link,Alt_Text
"['aero', 'l-39ng']",
"['bae', 'systems', 'hawk']","['ct-155', 'hawk']"
"['sheppard', 'air', 'force', 'bas']","['sheppardovej', 'letecký', 'základňa']"
['texas'],
"['united', 'states', 'air', 'force']","['vzdušný', 'sila', 'usa']"
"['belgický', 'vzdušný', 'sila']",
"['dassault', 'dornier', 'alpha', 'jet']","['alpha', 'jet']"
"['alenia', 'c-27j', 'spartan']","['c-27j', 'spartan']"
"['ozbrojený', 'sila', 'slovenský', 'republika']","['ozbrojený', 'sila']"
"['7', 'august']",
"['24', 'október']","['24', 'október']"
"['26', 'február']",
"['9', 'apríl']",
"['29', 'apríl']",
['2015'],
Link,Alt_Text
"['21', 'apríl']",
"['sikorsky', 'uh-60', 'black', 'hawk']","['uh-60m', 'black', 'hawk']"
"['americký', 'dolár']",['usd']
['apríl'],
['2017'],
"['bell', 'helicopter']",
"['bell', '429', 'globalranger']",
"['ozbrojený', 'sila', 'slovenský', 'republika']",
"['26', 'jún']",
"['letecký', 'základňa', 'preš']","['letecký', 'základňa', 'prešove']"
"['sikorsky', 'uh-60', 'black', 'hawk']","['sikorsky', 'uh-60m', 'black', 'hawk']"
"['12', 'júl']",
"['26', 'august']",
['minigun'],"['m134', 'gatling']"
"['sikorsky', 'hh-60', 'pave', 'hawk']",['hh-60w']
Link,Alt_Text
"['agustawestland', 'aw139']",['hh-139a']
"['mikojan-gurevič', 'mig-29']",['migu-29as']
"['letisko', 'sliač']",['sliač']
"['organizácia', 'severoatlantický', 'zmluva']","['organizácia', 'severoatlantický', 'zmluva']"
"['nato', 'integrated', 'air', 'missile', 'defence', 'system']","['systém', 'integrovaný', 'protivzdušný', 'a', 'protiraketovej', 'obrana', 'nato']"
['európa'],['európsky']
['turecko'],['turecka']
"['allied', 'air', 'command']","['spojenecký', 'veliteľstvo', 'vzdušný', 'sila']"
"['letecký', 'základňa', 'ramstein']",['ramstein']
['nemecko'],['nemecku']
"['letisko', 'sliač']",['sliač']
"['quick', 'reaction', 'alert']",['pohotovosť']
"['stíhací', 'lietadlo']","['stíhací', 'lietadlo']"
"['mikojan-gurevič', 'mig-29']",['mig-29as']
['radar'],
Link,Alt_Text
"['vzdušný', 'sila', 'armáda', 'český', 'republika']","['vzdušný', 'sila', 'armáda', 'český', 'republika']"
['česko'],
['renegade'],
"['súbor', 'fighter-jet-blue-icon', 'svg']",['15px']
"['súbor', 'helicopter-blue-icon', 'svg']",['15px']
"['súbor', 'aiga', 'departingflights', 'inv', 'svg']",['15px']
"['súbor', 'red', 'ff0000', 'pog', 'svg']",['8px']
"['súbor', 'yellow', 'ffff00', 'pog', 'svg']",['8px']
"['letisko', 'sliač']","[""'"", ""''"", 'sliač', ""''"", ""'""]"
"['letecký', 'základňa', 'malacky']","[""'"", ""''"", 'malacky', ""''"", ""'""]"
"['letecký', 'základňa', 'preš']","[""'"", ""''"", 'preš', ""''"", ""'""]"
"['brigáda', 'riadenie', 'vzdušný', 'operácia', 'zvolen']",['zvolen']
"['protilietadlový', 'raketový', 'brigáda', 'nitra']",['nitra']
"['veliteľstvo', 'vzdušný', 'sila', 'ozbrojený', 'sila', 'slovenský', 'republika']","['veliteľstvo', 'vzdušný', 'sila', 'os', 'sr']"
['zvolen'],
Link,Alt_Text
"['dopravné', 'krídlo', 'generál', 'milana', 'rastislava', 'štefánika', 'kuchyňa']","['dopravné', 'krídlo', 'generál', 'milana', 'rastislava', 'štefánika']"
"['letecký', 'základňa', 'malacky']",['malacky-kuchyňa']
"['alenia', 'c-27j', 'spartan']","['c-27j', 'spartan']"
"['let', 'l-410', 'turbolet']","['l-410fg', 'turbolet']"
"['let', 'l-410', 'turbolet']","['l-410uvp-e14', 'turbolet']"
"['let', 'l-410', 'turbolet']","['l-410uvp-e20', 'turbolet']"
"['taktický', 'krídlo', 'generálmajor', 'otta', 'smika', 'sliač']","['taktický', 'krídlo', 'generálmajor', 'otta', 'smika']"
"['letisko', 'sliač']",['sliač']
"['letecký', 'základňa', 'malacky']",['malacky-kuchyňa']
"['mikojan-gurevič', 'mig-29']",['mig-29as']
